id,type,age_group,internet_control,knows_facebook_age_req,aware_of_child_cyberbullying,concerns_about_device_use,digital_literacy,communicates_about_safety,child_age_group
P1425,Parent,35-44,Yes,False,No,Academic Performance,Medium,True,13-17
P1426,Parent,45-54,Want to but struggle,True,No,Insomnia,Medium,False,13-17
P1427,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance,Low,True,13-17
P1428,Parent,45-54,Yes,True,No,Academic Performance,High,True,13-17
P1429,Parent,35-44,Yes,True,No,Eating Disorders,Medium,True,13-17
P1430,Parent,45-54,Want to but struggle,True,No,Academic Performance,Low,True,13-17
P1431,Parent,35-44,Yes,True,No,Insomnia,Medium,True,13-17
P1432,Parent,45-54,Yes,False,Unsure,Academic Performance; Depression; Aggression,Medium,False,13-17
P1433,Parent,25-34,Yes,True,Unsure,Academic Performance; Eating Disorders,Medium,False,13-17
P1434,Parent,35-44,Yes,True,No,Depression,High,True,13-17
P1435,Parent,35-44,Want to but struggle,True,No,None,Low,False,13-17
P1436,Parent,35-44,Yes,False,Yes,Insomnia,Low,False,13-17
P1437,Parent,45-54,Yes,False,No,Academic Performance,Medium,True,9-12
P1438,Parent,25-34,Want to but struggle,True,Unsure,Insomnia,Low,False,9-12
P1439,Parent,25-34,No,False,Unsure,Insomnia; Academic Performance,Low,False,13-17
P1440,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Eating Disorders,Low,True,13-17
P1441,Parent,45-54,Want to but struggle,False,Unsure,Eating Disorders,Low,True,9-12
P1442,Parent,35-44,Want to but struggle,True,No,Insomnia; Aggression,Low,True,9-12
P1443,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance; Eating Disorders,Low,False,13-17
P1444,Parent,45-54,Yes,True,No,Insomnia,High,False,13-17
P1445,Parent,45-54,Yes,True,No,None,High,False,13-17
P1446,Parent,35-44,Yes,False,Unsure,None,Low,False,13-17
P1447,Parent,25-34,Want to but struggle,True,Yes,Aggression,Low,True,13-17
P1448,Parent,35-44,Want to but struggle,True,Unsure,Insomnia,Low,False,13-17
P1449,Parent,35-44,Want to but struggle,False,No,None,Medium,False,13-17
P1450,Parent,25-34,Yes,False,Unsure,Insomnia; Academic Performance; Eating Disorders,Medium,False,9-12
P1451,Parent,35-44,Yes,True,No,Depression; Eating Disorders,High,False,13-17
P1452,Parent,45-54,Yes,True,No,Insomnia,Medium,True,13-17
P1453,Parent,35-44,Want to but struggle,True,No,Academic Performance; Aggression,Medium,True,9-12
P1454,Parent,35-44,Yes,True,No,Academic Performance,Medium,False,13-17
P1455,Parent,35-44,Want to but struggle,True,Yes,Insomnia; Depression; Eating Disorders,Medium,True,13-17
P1456,Parent,35-44,Want to but struggle,True,No,None,Low,True,13-17
P1457,Parent,35-44,Yes,False,No,Academic Performance,Low,True,13-17
P1458,Parent,45-54,No,True,Unsure,Insomnia,Medium,False,9-12
P1459,Parent,35-44,Want to but struggle,True,No,Insomnia,Low,False,13-17
P1460,Parent,35-44,Yes,True,No,Insomnia,Medium,False,9-12
P1461,Parent,45-54,Yes,True,No,Academic Performance,High,True,13-17
P1462,Parent,45-54,Want to but struggle,True,No,Academic Performance,Low,False,13-17
P1463,Parent,25-34,No,True,No,Insomnia,Low,True,13-17
P1464,Parent,45-54,Want to but struggle,False,No,Insomnia,Low,False,9-12
P1465,Parent,35-44,Yes,False,Unsure,None,Medium,True,13-17
P1466,Parent,45-54,Yes,True,No,None,Medium,False,9-12
P1467,Parent,25-34,Want to but struggle,True,No,None,Medium,True,13-17
P1468,Parent,45-54,Want to but struggle,True,No,Insomnia,Low,True,9-12
P1469,Parent,25-34,Yes,False,No,Insomnia,Low,False,9-12
P1470,Parent,35-44,Want to but struggle,False,No,Insomnia; Academic Performance; Eating Disorders,Medium,False,13-17
P1471,Parent,45-54,Want to but struggle,False,No,None,Low,True,9-12
P1472,Parent,35-44,No,True,No,None,Low,False,13-17
P1473,Parent,45-54,Want to but struggle,False,Yes,Depression; Eating Disorders,Low,True,13-17
P1474,Parent,45-54,Yes,True,No,None,Medium,False,13-17
P1475,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance,Low,False,9-12
P1476,Parent,35-44,Yes,False,No,None,Low,True,13-17
P1477,Parent,35-44,Yes,True,Unsure,Insomnia,High,True,13-17
P1478,Parent,35-44,Want to but struggle,True,Unsure,None,Medium,True,9-12
P1479,Parent,45-54,Yes,True,Unsure,Insomnia,High,False,9-12
P1480,Parent,45-54,Yes,True,No,None,High,False,9-12
P1481,Parent,35-44,Want to but struggle,True,No,Insomnia; Depression,Low,True,13-17
P1482,Parent,35-44,Want to but struggle,False,Yes,None,Low,True,13-17
P1483,Parent,35-44,Yes,False,No,None,Medium,False,13-17
P1484,Parent,45-54,Want to but struggle,True,No,Insomnia,Low,True,13-17
P1485,Parent,35-44,Yes,False,No,Insomnia; Academic Performance,Low,False,13-17
P1486,Parent,35-44,Want to but struggle,False,Unsure,Insomnia; Academic Performance,Low,False,13-17
P1487,Parent,35-44,Yes,True,No,Insomnia; Academic Performance,Medium,False,13-17
P1488,Parent,35-44,Want to but struggle,True,No,None,Low,True,13-17
P1489,Parent,35-44,Want to but struggle,False,Unsure,Insomnia; Aggression,Medium,False,13-17
P1490,Parent,45-54,Want to but struggle,False,Unsure,Insomnia; Academic Performance; Aggression,Medium,True,13-17
P1491,Parent,35-44,Yes,True,Unsure,Insomnia; Academic Performance,High,False,13-17
P1492,Parent,35-44,Want to but struggle,False,Unsure,Academic Performance,Low,True,13-17
P1493,Parent,35-44,Yes,True,No,Aggression,High,False,9-12
P1494,Parent,35-44,Yes,True,No,Insomnia; Academic Performance; Depression; Eating Disorders; Aggression,High,True,13-17
P1495,Parent,45-54,Want to but struggle,True,Unsure,Academic Performance,Medium,True,9-12
P1496,Parent,45-54,Want to but struggle,True,No,Insomnia,Medium,True,13-17
P1497,Parent,35-44,Yes,True,Unsure,None,High,False,13-17
P1498,Parent,45-54,Yes,False,No,None,Medium,False,9-12
P1499,Parent,45-54,Yes,True,Unsure,Insomnia,High,True,9-12
P1500,Parent,45-54,Yes,False,No,Academic Performance,Low,False,9-12
P1501,Parent,25-34,Yes,True,No,Insomnia; Academic Performance,Medium,False,13-17
P1502,Parent,45-54,No,False,No,None,Low,True,9-12
P1503,Parent,35-44,Yes,False,No,Eating Disorders,Low,True,9-12
P1504,Parent,35-44,Yes,False,Unsure,Depression,Low,False,13-17
P1505,Parent,35-44,Want to but struggle,True,No,Insomnia; Depression,Medium,True,9-12
P1506,Parent,45-54,Yes,True,No,Academic Performance; Eating Disorders,Medium,False,13-17
P1507,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance,Low,True,13-17
P1508,Parent,25-34,Yes,True,No,None,Medium,True,9-12
P1509,Parent,45-54,Want to but struggle,True,No,None,Low,False,13-17
P1510,Parent,45-54,Want to but struggle,False,No,None,Low,False,13-17
P1511,Parent,35-44,Yes,False,No,Insomnia; Academic Performance,Medium,False,13-17
P1512,Parent,35-44,Yes,True,No,None,Medium,False,13-17
P1513,Parent,55+,Yes,True,Unsure,None,High,True,13-17
P1514,Parent,45-54,Want to but struggle,False,Unsure,Insomnia,Medium,False,13-17
P1515,Parent,35-44,Want to but struggle,False,No,Eating Disorders,Low,True,9-12
P1516,Parent,45-54,Want to but struggle,True,No,None,Low,False,13-17
P1517,Parent,35-44,Yes,False,Unsure,Depression,Medium,True,13-17
P1518,Parent,35-44,Yes,True,Unsure,None,Medium,False,13-17
P1519,Parent,25-34,Want to but struggle,False,No,Academic Performance,Low,False,13-17
P1520,Parent,35-44,Yes,True,No,Insomnia; Academic Performance,Medium,True,13-17
P1521,Parent,25-34,Want to but struggle,True,Unsure,None,Low,True,13-17
P1522,Parent,35-44,No,False,No,Insomnia; Academic Performance; Depression,Low,True,9-12
P1523,Parent,35-44,Yes,False,No,Depression; Eating Disorders; Aggression,Low,True,13-17
P1524,Parent,35-44,Yes,True,No,Aggression,Medium,False,13-17
P1525,Parent,25-34,Yes,True,Unsure,Academic Performance,Medium,True,13-17
P1526,Parent,45-54,Want to but struggle,False,Unsure,Academic Performance; Depression,Medium,True,9-12
P1527,Parent,35-44,Yes,True,No,Academic Performance,Medium,True,13-17
P1528,Parent,45-54,Yes,False,No,None,Low,True,9-12
P1529,Parent,55+,No,True,No,None,Low,True,9-12
P1530,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Depression,Low,False,9-12
P1531,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance,Medium,True,13-17
P1532,Parent,45-54,Want to but struggle,False,No,Insomnia; Eating Disorders,Low,True,13-17
P1533,Parent,35-44,Yes,True,Yes,Academic Performance; Depression,High,False,13-17
P1534,Parent,35-44,Want to but struggle,True,No,Academic Performance,Low,False,13-17
P1535,Parent,35-44,Want to but struggle,True,No,None,Medium,False,9-12
P1536,Parent,35-44,Yes,True,No,Depression,Medium,False,13-17
P1537,Parent,45-54,Yes,False,Yes,Eating Disorders,Low,True,9-12
P1538,Parent,35-44,Want to but struggle,False,No,None,Medium,False,13-17
P1539,Parent,45-54,No,True,No,Depression,Medium,False,13-17
P1540,Parent,35-44,Want to but struggle,False,No,Academic Performance; Aggression,Low,True,13-17
P1541,Parent,35-44,No,True,Yes,Academic Performance,Medium,True,13-17
P1542,Parent,35-44,Want to but struggle,True,Unsure,None,Low,False,13-17
P1543,Parent,35-44,Yes,False,Unsure,Academic Performance; Eating Disorders,Low,False,9-12
P1544,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance; Aggression,Low,False,9-12
P1545,Parent,25-34,No,True,No,None,Low,False,13-17
P1546,Parent,35-44,Yes,True,No,None,Medium,True,13-17
P1547,Parent,35-44,Want to but struggle,True,Unsure,None,Medium,True,13-17
P1548,Parent,35-44,No,False,No,None,Medium,True,13-17
P1549,Parent,35-44,Want to but struggle,True,No,None,Low,False,13-17
P1550,Parent,45-54,Yes,False,No,Insomnia; Aggression,Medium,False,9-12
P1551,Parent,35-44,Yes,True,Unsure,None,Medium,False,9-12
P1552,Parent,35-44,Yes,False,No,Insomnia,Low,False,9-12
P1553,Parent,35-44,Yes,True,No,Academic Performance,Medium,True,9-12
P1554,Parent,35-44,Want to but struggle,False,No,None,Medium,False,13-17
P1555,Parent,45-54,Want to but struggle,False,Unsure,Insomnia; Eating Disorders,Low,True,13-17
P1556,Parent,35-44,No,False,Unsure,Eating Disorders,Medium,True,13-17
P1557,Parent,25-34,Yes,True,Unsure,Depression,Medium,False,13-17
P1558,Parent,35-44,Want to but struggle,True,Yes,None,Low,False,13-17
P1559,Parent,35-44,Want to but struggle,False,No,Academic Performance,Low,False,13-17
P1560,Parent,45-54,Yes,True,No,Insomnia; Eating Disorders,Medium,True,9-12
P1561,Parent,45-54,Yes,False,Unsure,Depression,Medium,False,13-17
P1562,Parent,45-54,Yes,False,No,None,Low,True,13-17
P1563,Parent,45-54,Want to but struggle,True,No,Eating Disorders,Low,False,9-12
P1564,Parent,35-44,Yes,True,Unsure,Academic Performance,Medium,False,9-12
P1565,Parent,35-44,Want to but struggle,False,Unsure,Academic Performance,Low,False,9-12
P1566,Parent,45-54,Yes,True,No,None,High,False,13-17
P1567,Parent,45-54,Want to but struggle,False,No,Insomnia,Low,False,13-17
P1568,Parent,35-44,Yes,True,No,Academic Performance; Depression,Medium,True,13-17
P1569,Parent,35-44,No,False,Unsure,None,Low,True,9-12
P1570,Parent,45-54,Yes,False,No,Insomnia,Low,False,13-17
P1571,Parent,35-44,Yes,True,Unsure,None,High,False,13-17
P1572,Parent,35-44,Yes,True,Unsure,Insomnia; Academic Performance,High,False,9-12
P1573,Parent,35-44,Yes,True,Unsure,Depression,Medium,False,13-17
P1574,Parent,35-44,Yes,True,Unsure,Insomnia,High,False,9-12
P1575,Parent,35-44,Want to but struggle,True,No,Depression,Low,False,9-12
P1576,Parent,35-44,Yes,True,Unsure,Academic Performance,High,True,9-12
P1577,Parent,35-44,Yes,False,Unsure,Depression,Low,True,13-17
P1578,Parent,35-44,Yes,True,No,Academic Performance; Depression; Eating Disorders,Medium,False,13-17
P1579,Parent,45-54,Want to but struggle,False,Unsure,Aggression,Medium,False,13-17
P1580,Parent,35-44,Yes,False,No,Academic Performance,Medium,False,9-12
P1581,Parent,45-54,Want to but struggle,True,No,None,Low,True,13-17
P1582,Parent,35-44,Yes,False,No,None,Low,False,13-17
P1583,Parent,45-54,No,True,No,None,Medium,True,13-17
P1584,Parent,35-44,Yes,True,No,Academic Performance,Medium,False,13-17
P1585,Parent,35-44,Yes,True,Unsure,None,High,False,13-17
P1586,Parent,35-44,Yes,True,Unsure,None,High,True,13-17
P1587,Parent,35-44,Yes,True,No,Depression,High,False,9-12
P1588,Parent,45-54,No,True,No,Academic Performance; Eating Disorders,Medium,False,13-17
P1589,Parent,25-34,Yes,True,No,Academic Performance,Medium,True,13-17
P1590,Parent,45-54,Want to but struggle,True,No,Academic Performance; Depression,Low,True,9-12
P1591,Parent,35-44,Want to but struggle,True,No,Academic Performance,Medium,False,13-17
P1592,Parent,35-44,Yes,False,No,None,Low,True,9-12
P1593,Parent,35-44,Yes,False,No,Insomnia; Academic Performance,Low,False,9-12
P1594,Parent,25-34,Want to but struggle,False,No,Insomnia; Academic Performance; Depression,Low,False,9-12
P1595,Parent,35-44,Yes,True,Unsure,Academic Performance,Medium,False,9-12
P1596,Parent,35-44,Want to but struggle,True,No,Academic Performance,Low,True,9-12
P1597,Parent,45-54,Yes,True,No,Insomnia,Medium,True,9-12
P1598,Parent,35-44,Yes,True,Unsure,Insomnia,Medium,False,9-12
P1599,Parent,35-44,No,True,Unsure,None,Medium,True,13-17
P1600,Parent,45-54,Want to but struggle,False,No,Depression,Low,True,13-17
P1601,Parent,35-44,Want to but struggle,True,Unsure,Depression,Low,True,13-17
P1602,Parent,25-34,Yes,False,No,Insomnia; Academic Performance; Depression,Low,False,13-17
P1603,Parent,35-44,No,True,No,Academic Performance,Low,True,9-12
P1604,Parent,35-44,Yes,True,Unsure,Academic Performance,Medium,False,13-17
P1605,Parent,45-54,Yes,True,No,Insomnia; Eating Disorders,Medium,True,13-17
P1606,Parent,45-54,Want to but struggle,True,Unsure,None,Low,True,13-17
P1607,Parent,35-44,Yes,True,No,Insomnia; Academic Performance; Depression,Medium,False,13-17
P1608,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance; Eating Disorders,Low,True,13-17
P1609,Parent,35-44,Yes,True,Unsure,None,High,True,9-12
P1610,Parent,35-44,Yes,True,Unsure,None,High,True,13-17
P1611,Parent,35-44,Want to but struggle,True,No,None,Low,True,9-12
P1612,Parent,35-44,Want to but struggle,True,Yes,Insomnia,Low,True,13-17
P1613,Parent,45-54,No,True,No,Academic Performance; Depression,Low,True,9-12
P1614,Parent,35-44,Yes,True,Unsure,Academic Performance,Medium,True,9-12
P1615,Parent,35-44,Want to but struggle,True,Unsure,None,Medium,False,13-17
P1616,Parent,35-44,Yes,True,No,Insomnia; Depression; Eating Disorders,High,True,9-12
P1617,Parent,45-54,Want to but struggle,True,Unsure,None,Low,False,13-17
P1618,Parent,45-54,Want to but struggle,True,Unsure,Aggression,Low,True,9-12
P1619,Parent,45-54,Yes,True,No,Aggression,High,True,13-17
P1620,Parent,45-54,Yes,False,No,None,Low,False,9-12
P1621,Parent,35-44,Want to but struggle,False,Unsure,None,Low,False,13-17
P1622,Parent,35-44,Yes,True,Yes,Eating Disorders,Medium,True,13-17
P1623,Parent,35-44,No,False,No,None,Low,True,13-17
P1624,Parent,35-44,Want to but struggle,True,No,Insomnia,Low,False,9-12
P1625,Parent,35-44,Yes,True,No,Academic Performance; Eating Disorders,Medium,False,9-12
P1626,Parent,45-54,Want to but struggle,True,No,Insomnia,Low,False,9-12
P1627,Parent,45-54,Want to but struggle,True,No,Academic Performance,Medium,False,9-12
P1628,Parent,35-44,No,True,Unsure,Aggression,Low,True,9-12
P1629,Parent,35-44,Want to but struggle,False,No,Depression,Low,False,13-17
P1630,Parent,35-44,No,False,No,Insomnia; Academic Performance,Low,False,9-12
P1631,Parent,45-54,Yes,True,No,None,High,True,13-17
P1632,Parent,45-54,Yes,False,No,Insomnia,Low,True,9-12
P1633,Parent,45-54,Want to but struggle,True,Unsure,None,Low,False,13-17
P1634,Parent,45-54,No,False,No,Academic Performance; Depression,Medium,True,13-17
P1635,Parent,35-44,Yes,True,No,Academic Performance,Medium,True,9-12
